id,3451015@心理學（一）@1@1,3451016@社會學（一）@1@1,3451031@自我探索@1@1,3451888@學系服務學習@1@1,3452012@發展心理學@1@1,3452015@婚姻與家庭@1@1,3452024@刑法總則（一）@1@1,3452026@警政管理@1@1,3452071@民法總則(一)@1@1,3453034@犯罪偵查@1@1,3453040@性犯罪@1@1,3451005@心理衛生@2@1,3451018@社會學（二）@2@1,3451019@心理學（二）@2@1,3451023@刑事司法概論@2@1,3451030@社會工作@2@1,3451032@腦與犯罪@2@1,3451888@學系服務學習@2@1,3452027@暴力犯罪@2@1,3452072@民法總則(二)@2@1,3453081@心理學在犯罪領域之運用@2@1,3453083@家庭暴力與性侵害預防宣導@2@1,3451001@犯罪學@1@1,3451008@犯罪生物學@1@1,3451026@物質濫用概論@1@1,3451030@社會工作@1@1,3452011@犯罪預防@1@1,3452029@社會心理學@1@1,3452031@行為統計與電腦（一）@1@1,3452070@社會個案工作@1@1,3452075@諮商理論@1@1,3453035@變態心理學@1@1,3453036@犯罪矯正管理@1@1,3453066@刑事訴訟法（一）@1@1,3453070@諮商倫理@1@1,3453084@方案規劃與評估@1@1,3454007@觀護制度@1@1,3452018@人格心理學@2@1,3452025@刑法總則（二）@2@1,3452065@人際關係與溝通@2@1,3452066@行為統計與電腦（二）@2@1,3452073@社會團體工作@2@1,3452074@少年犯罪@2@1,3452076@警察學@2@1,3452077@諮商歷程與技術@2@1,3453031@犯罪心理學@2@1,3453032@團體輔導實務@2@1,3453078@體驗教育與冒險治療(二)@2@1
404725001,60,74,91,98,89,NaN,90,81,87,NaN,98,NaN,91,87,80,90,NaN,NaN,-1,-1,86,NaN,82,NaN,NaN,NaN,NaN,91,87,84,87,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404725002,72,89,NaN,NaN,89,NaN,84,NaN,86,NaN,NaN,NaN,85,88,NaN,78,NaN,92,NaN,NaN,87,92,85,NaN,NaN,NaN,NaN,89,94,84,82,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404725003,80,93,NaN,97,NaN,NaN,NaN,85,NaN,NaN,97,95,95,86,83,92,NaN,NaN,-1,NaN,87,NaN,93,NaN,85,NaN,92,88,97,92,93,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN
404725004,77,82,90,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,75,79,90,NaN,79,NaN,92,-1,NaN,89,92,83,NaN,NaN,NaN,NaN,75,85,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404725005,86,90,89,93,NaN,NaN,73,NaN,NaN,NaN,93,NaN,88,89,NaN,87,NaN,NaN,92,NaN,87,NaN,78,NaN,NaN,NaN,86,88,93,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404725006,64,91,NaN,NaN,NaN,82,83,NaN,86,NaN,NaN,NaN,86,90,83,80,NaN,82,NaN,90,90,82,84,NaN,NaN,NaN,NaN,90,84,85,92,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
404725007,60,82,NaN,97,88,82,79,NaN,91,NaN,97,NaN,87,86,83,68,NaN,NaN,NaN,-1,87,NaN,71,NaN,NaN,NaN,NaN,87,85,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
404725009,87,91,95,95,NaN,NaN,94,NaN,89,NaN,95,NaN,97,92,88,90,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,98,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN
404725010,60,70,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,91,82,80,NaN,85,NaN,NaN,89,85,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404725012,90,94,NaN,NaN,89,NaN,88,NaN,87,NaN,NaN,95,90,92,NaN,90,NaN,92,-1,-1,89,92,90,NaN,NaN,NaN,NaN,90,96,NaN,82,NaN,86,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404725013,60,66,79,98,NaN,NaN,69,NaN,90,91,98,95,76,86,80,84,92,NaN,NaN,84,NaN,NaN,71,NaN,NaN,NaN,NaN,87,86,81,89,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
404725015,88,93,92,98,NaN,NaN,80,NaN,NaN,NaN,98,NaN,84,89,85,90,NaN,NaN,NaN,94,90,NaN,79,NaN,NaN,NaN,NaN,88,95,88,92,NaN,NaN,84,NaN,NaN,85,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,-1,-1
404725016,60,74,90,NaN,88,NaN,80,NaN,91,NaN,NaN,NaN,84,87,84,88,94,92,NaN,NaN,NaN,92,84,NaN,NaN,NaN,NaN,89,85,92,82,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
