id,3451015@心理學（一）@1@1,3451016@社會學（一）@1@1,3451026@物質濫用概論@1@1,3451030@社會工作@1@1,3451888@學系服務學習@1@1,3452024@刑法總則（一）@1@1,3452026@警政管理@1@1,3452071@民法總則(一)@1@1,3453084@方案規劃與評估@1@1,3451018@社會學（二）@2@1,3451019@心理學（二）@2@1,3451023@刑事司法概論@2@1,3451031@自我探索@2@1,3451032@腦與犯罪@2@1,3451888@學系服務學習@2@1,3452018@人格心理學@2@1,3452025@刑法總則（二）@2@1,3452065@人際關係與溝通@2@1,3452072@民法總則(二)@2@1,3452073@社會團體工作@2@1,3453078@體驗教育與冒險治療(二)@2@1,3453081@心理學在犯罪領域之運用@2@1
405725001,80,85,NaN,82,79,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405725002,50,80,NaN,76,NaN,NaN,NaN,87,86,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405725004,82,95,87,82,NaN,NaN,NaN,NaN,90,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
405725005,80,85,83,76,89,NaN,NaN,85,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
405725006,85,93,NaN,90,NaN,NaN,NaN,89,NaN,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405725007,66,87,83,82,86,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405725008,61,85,85,85,NaN,NaN,NaN,93,NaN,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405725009,78,79,81,80,83,NaN,NaN,NaN,83,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405725011,81,66,88,82,89,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405725012,61,93,87,84,NaN,NaN,NaN,NaN,85,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
405725013,72,73,88,86,89,NaN,NaN,89,86,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
405725014,61,79,NaN,77,NaN,NaN,NaN,89,86,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405725015,86,80,NaN,76,79,NaN,85,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
405725016,78,78,83,87,NaN,80,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
405725017,50,82,NaN,22,55,NaN,NaN,66,NaN,-1,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405725018,61,72,NaN,85,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,-1,-1,NaN
405725019,83,88,NaN,86,84,NaN,NaN,NaN,88,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
405725021,63,76,90,57,88,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1
405725022,66,64,NaN,55,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405725023,71,86,NaN,87,83,NaN,90,NaN,87,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
405725024,92,91,83,82,NaN,NaN,NaN,87,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
405725025,76,82,93,83,89,NaN,93,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
405725026,50,85,83,82,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
405725027,80,78,83,77,83,NaN,NaN,83,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405725028,60,91,NaN,79,NaN,NaN,NaN,NaN,85,-1,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
405725029,70,87,NaN,84,79,NaN,NaN,NaN,85,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
405725030,81,84,NaN,82,NaN,NaN,88,NaN,90,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405725031,85,85,83,72,78,NaN,89,80,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405725032,78,65,83,71,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405725033,66,81,83,76,79,NaN,88,86,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405725034,86,90,NaN,85,NaN,NaN,NaN,NaN,86,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
405725035,72,78,93,75,89,NaN,NaN,95,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
405725036,84,88,NaN,87,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405725037,60,82,81,79,79,NaN,90,84,84,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405725038,60,84,83,76,NaN,NaN,88,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405725039,78,84,83,78,70,NaN,89,87,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405725040,78,92,83,77,NaN,NaN,NaN,88,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
