id,3455001@行為科學研究法@1@1,3455002@犯罪學專題研究（一）@1@1,3455011@刑事法學專題研究@1@1,3455080@批判的犯罪學@1@1,3455084@性罪犯與婚姻暴力加害人處遇專題研究@1@1,3455090@白領犯罪與經濟犯罪專題研究@1@1,3456013@犯罪研究統計（一）@1@1,3456020@犯罪社會學理論專題研究@1@1,3456030@犯罪生物學專題研究@1@1,3456031@少年事件處理法與保安處分執行法專題研究@1@1,3456041@心理創傷與處遇@1@1,3455003@犯罪學專題研究（二）@2@1,3455026@刑事訴訟法專題研究@2@1,3455037@矯正諮商專題研究@2@1,3455070@矯正社會工作專題研究@2@1,3456017@犯罪研究統計（二）@2@1,3456027@獨立研究：研究計畫與報告撰寫@2@1,3456032@犯罪控制與監獄學專題研究@2@1,3456036@公務員倫理與刑事立法@2@1,3456040@犯罪地理學專題研究@2@1,3456043@創傷訪談研究@2@1,3456044@暴力行為的神經機制專題研究@2@1,3455051@家庭暴力與性侵害專題研究@1@1,3456006@生涯發展與犯罪專題研究@1@1,3456015@警察組織與管理@1@1,3456045@刑事制裁專題研究@1@1,3456047@兒時性創傷@1@1,3450617@犯罪研究統計（二）@2@1,3456009@當代社會心理學與犯罪專題研究@2@1,3456048@情緒的神經機制專題研究@2@1,3456049@親密暴力諮商專題研究@2@1,3455056@質的研究法@1@1,3456038@法律社會學專題研究@1@1,3456043@創傷訪談研究@1@1,3456044@暴力行為的神經機制專題研究@1@1,3455022@少年犯罪專題研究@2@1,3455056@質的研究法@2@1,3456029@洗錢刑法專題研究@2@1,3456034@諮商心理學專題研究@2@1
600725001,88,90,94,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,87,88,NaN,NaN,88,NaN,NaN,NaN,NaN,92,NaN,NaN,89,NaN,92,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600725003,89,89,95,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,85,NaN,NaN,89,NaN,NaN,NaN,93,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,92
600725004,88,89,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,89,87,89,86,NaN,92,91,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN
600725008,89,83,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,87,NaN,87,NaN,NaN,88,90,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN
600725009,88,83,94,NaN,NaN,NaN,89,NaN,92,87,NaN,81,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,92,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
600725010,89,90,91,89,NaN,NaN,NaN,NaN,NaN,88,NaN,87,88,NaN,NaN,NaN,NaN,NaN,94,NaN,91,NaN,NaN,NaN,NaN,96,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600725011,88,89,96,NaN,88,NaN,89,NaN,NaN,NaN,NaN,88,88,90,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,88,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600725012,88,89,93,90,NaN,NaN,NaN,NaN,NaN,88,NaN,87,87,NaN,NaN,83,NaN,89,NaN,NaN,NaN,NaN,NaN,88,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600725013,90,91,91,NaN,NaN,NaN,93,NaN,NaN,NaN,93,91,89,92,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,89,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600725014,88,92,94,NaN,88,NaN,88,NaN,NaN,90,NaN,88,89,90,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
