id,3455037@矯正諮商專題研究@2@1,3456040@犯罪地理學專題研究@2@1,3456043@創傷訪談研究@2@1,3455001@行為科學研究法@1@1,3455002@犯罪學專題研究（一）@1@1,3455011@刑事法學專題研究@1@1,3455051@家庭暴力與性侵害專題研究@1@1,3455080@批判的犯罪學@1@1,3456006@生涯發展與犯罪專題研究@1@1,3456013@犯罪研究統計（一）@1@1,3456015@警察組織與管理@1@1,3456030@犯罪生物學專題研究@1@1,3456031@少年事件處理法與保安處分執行法專題研究@1@1,3456046@諮商技術專題研究@1@1,3456047@兒時性創傷@1@1,3450617@犯罪研究統計（二）@2@1,3455003@犯罪學專題研究（二）@2@1,3455026@刑事訴訟法專題研究@2@1,3455070@矯正社會工作專題研究@2@1,3456009@當代社會心理學與犯罪專題研究@2@1,3456027@獨立研究：研究計畫與報告撰寫@2@1,3456029@洗錢刑法專題研究@2@1,3456032@犯罪控制與監獄學專題研究@2@1,3456041@心理創傷與處遇@2@1,3456048@情緒的神經機制專題研究@2@1,3456049@親密暴力諮商專題研究@2@1,3455056@質的研究法@1@1,3455084@性罪犯與婚姻暴力加害人處遇專題研究@1@1,3455090@白領犯罪與經濟犯罪專題研究@1@1,3456038@法律社會學專題研究@1@1,3456043@創傷訪談研究@1@1,3456044@暴力行為的神經機制專題研究@1@1,3456037@多元文化與華人諮商專題研究@2@1,3456039@犯罪與電生理學專題研究@2@1,3456047@兒時性創傷@2@1
601725004,90,90,93,88,89,90,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,89,91,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601725001,NaN,NaN,NaN,89,88,90,NaN,NaN,88,NaN,NaN,NaN,89,NaN,NaN,NaN,86,91,NaN,90,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,90
601725002,NaN,NaN,NaN,89,90,91,89,90,91,NaN,NaN,NaN,89,NaN,NaN,NaN,87,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,90,NaN,NaN,NaN,NaN,NaN
601725003,NaN,NaN,NaN,89,90,91,NaN,92,93,NaN,NaN,NaN,88,NaN,NaN,NaN,90,90,NaN,92,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN
601725006,NaN,NaN,NaN,86,87,89,NaN,NaN,93,80,NaN,NaN,NaN,NaN,NaN,78,84,90,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN
601725007,87,NaN,NaN,89,90,88,NaN,NaN,90,NaN,92,NaN,89,NaN,NaN,NaN,89,NaN,89,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
601725008,NaN,88,NaN,88,90,91,NaN,NaN,93,NaN,NaN,NaN,89,NaN,NaN,NaN,90,91,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
601725009,NaN,NaN,NaN,86,86,90,NaN,90,88,NaN,92,NaN,NaN,NaN,90,NaN,86,NaN,NaN,NaN,NaN,NaN,92,87,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601725010,NaN,NaN,NaN,87,88,91,NaN,NaN,92,NaN,NaN,93,NaN,NaN,NaN,NaN,89,91,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,92,NaN,95,NaN,93,NaN
601725011,NaN,NaN,NaN,87,88,91,NaN,87,90,NaN,NaN,NaN,87,NaN,NaN,NaN,87,90,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,NaN,NaN
601725012,87,NaN,NaN,89,89,91,NaN,NaN,93,NaN,NaN,NaN,NaN,95,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,95,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN
601725013,NaN,NaN,NaN,88,89,91,89,NaN,91,NaN,NaN,NaN,88,NaN,NaN,NaN,88,90,NaN,NaN,92,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN
601725014,NaN,NaN,NaN,88,90,91,88,NaN,89,NaN,NaN,NaN,88,NaN,NaN,NaN,88,91,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
601725015,87,NaN,NaN,89,89,88,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,90,NaN,90,NaN,NaN,92,NaN,NaN,NaN,94,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601725016,NaN,NaN,NaN,88,87,90,NaN,NaN,86,NaN,NaN,92,88,NaN,NaN,NaN,86,90,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,NaN,NaN
601725017,NaN,NaN,NaN,87,89,91,88,90,90,93,NaN,NaN,89,NaN,NaN,NaN,87,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
601725018,NaN,NaN,NaN,88,88,87,NaN,90,NaN,83,NaN,NaN,89,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,95,NaN,NaN,88,NaN,NaN,95,NaN,NaN
601725019,NaN,NaN,NaN,81,87,89,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,80,90,NaN,NaN,NaN,NaN,NaN,91,93,NaN,NaN,NaN,NaN,NaN,90,93,NaN,92,NaN
601725020,NaN,NaN,NaN,88,88,91,89,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,88,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,95,NaN,NaN,90,NaN,NaN,95,NaN,NaN
601725005,NaN,NaN,NaN,89,88,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,91,92,90,93,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,93
