id,3901001@人體解剖生理學@1@1,3901003@運動科學概論@1@1,3901005@專長術科（一）@1@1,3901007@運動場館實習（一）@1@1,3901101@運動心理學@1@1,3901888@學系服務學習@1@1,3901002@體育測驗與評量@2@1,3901004@運動休閒概論@2@1,3901006@專長術科（二）@2@1,3901008@運動場館實習（二）@2@1,3901102@運動教育學@2@1,3901888@學系服務學習@2@1,3903112@游泳@2@1,3902001@運動訓練法@1@1,3902003@專長術科（三）@1@1,3902005@運動場館實習（三）@1@1,3902009@運動英語聽講@1@1,3902101@應用教練心理學@1@1,3902103@運動生理學@1@1,3902105@運動社會學@1@1,3903103@運動選材學@1@1,3903106@運動按摩學@1@1,3903107@運動員健康管理@1@1,3903109@運動教練學@1@1,3903115@桌球@1@1,3904101@運動技能學習@1@1,3904103@體育統計學@1@1,3904109@肌力訓練@1@1,3904110@足球@1@1,3904113@跆拳道@1@1,3902002@運動傷害與急救@2@1,3902004@專長術科（四）@2@1,3902006@運動場館實習（四）@2@1,3902102@運動生物力學@2@1,3902104@應用運動生理學@2@1,3902106@運動管理學@2@1,3902108@運動賽會與管理@2@1,3903007@運動資訊處理@2@1,3903104@運動營養學@2@1,3903105@運動行銷學@2@1,3903110@個人與團體運動指導訓練@2@1,3903114@網球@2@1,3903117@有氧舞蹈@2@1,3904114@競技運動競賽實務@2@1,3904116@排球@2@1,3904117@羽球@2@1,3904119@國術@2@1,3902107@運動場地規畫與管理@1@1,3903001@專長術科（五）@1@1,3903111@田徑@1@1,3903113@籃球@1@1,3904005@運動專業英語術語@1@1,3904008@運動資訊處理（二）@1@1,3904105@體育教材教法@1@1,3904108@運動裁判法@1@1,3904121@安全教育與急救@1@1,3904122@運動健身器材科技@1@1,3901103@體育學原理@2@1,3901104@棒(壘)球@2@1,3903004@專長術科（六）@2@1,3903005@體育英文@2@1,3903101@體適能與運動處方@2@1,3903102@運動技術分析@2@1,3903116@高爾夫@2@1,3904123@運動健康心理學@2@1,3901105@體操@1@1,3901109@撞球@1@1,3901110@體育行政@1@1,3902112@國術@1@1,3904001@專長術科（七）@1@1,3904118@體育課程設計@1@1,3902113@瑜珈@2@1,3904002@專長術科（八）@2@1,3902011@運動專業實習（二）@2@1,3902018@專長術科（四）-田徑@2@1
400736002,76,90,90,88,NaN,NaN,76,76,89,50,NaN,80,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400736003,88,82,80,88,67,80,81,77,83,88,89,NaN,88,78,87,87,92,87,NaN,NaN,85,84,NaN,85,61,NaN,85,80,NaN,93,79,80,86,NaN,80,NaN,NaN,83,NaN,78,78,85,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,90,96,85,94,NaN,87,NaN,NaN,93,80,77,NaN,89,NaN,NaN,NaN,78,NaN,NaN,85,NaN,NaN,82,NaN,NaN
400736004,80,90,85,90,60,NaN,86,67,80,85,NaN,80,88,86,88,83,91,70,75,86,NaN,87,89,86,NaN,NaN,82,NaN,90,NaN,87,86,87,83,88,75,68,80,93,74,NaN,80,NaN,89,85,NaN,NaN,92,85,81,88,89,82,NaN,NaN,63,87,82,92,84,81,94,90,89,95,NaN,85,NaN,NaN,80,NaN,85,87,NaN,NaN
400736005,85,90,86,93,60,80,80,64,88,92,76,NaN,86,80,87,86,88,84,NaN,85,86,NaN,NaN,85,60,NaN,NaN,88,NaN,85,84,85,89,NaN,90,80,NaN,83,88,NaN,93,80,NaN,90,88,NaN,NaN,NaN,85,87,85,78,92,NaN,NaN,NaN,87,88,NaN,89,79,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,90,NaN,NaN
400736006,70,88,89,80,74,NaN,86,66,86,92,85,80,85,84,89,82,87,NaN,86,NaN,85,NaN,86,85,NaN,84,NaN,72,88,NaN,80,86,89,84,88,72,85,83,88,92,91,85,NaN,88,NaN,NaN,79,NaN,92,NaN,83,76,90,NaN,NaN,NaN,84,NaN,NaN,92,80,88,NaN,86,NaN,NaN,NaN,95,NaN,89,NaN,80,91,NaN,NaN
400736007,72,89,86,92,70,80,83,78,86,93,86,NaN,90,83,86,87,89,NaN,NaN,NaN,84,87,92,89,88,86,NaN,94,NaN,83,87,86,85,85,90,80,NaN,93,92,NaN,NaN,90,NaN,NaN,NaN,87,77,NaN,88,NaN,88,77,92,95,88,NaN,NaN,88,NaN,86,78,93,NaN,90,NaN,NaN,NaN,NaN,NaN,86,97,95,86,NaN,NaN
400736008,80,85,85,85,67,NaN,86,68,87,90,86,80,82,86,80,84,91,NaN,NaN,NaN,86,88,NaN,84,85,NaN,NaN,93,NaN,90,87,84,85,NaN,96,75,85,84,95,85,NaN,86,NaN,89,NaN,NaN,78,90,80,80,84,91,86,NaN,NaN,NaN,NaN,NaN,NaN,80,82,95,NaN,89,NaN,NaN,NaN,NaN,NaN,78,94,NaN,83,NaN,NaN
400736009,85,88,90,92,64,80,80,70,90,90,77,NaN,90,78,88,89,87,86,NaN,86,86,NaN,NaN,84,60,NaN,NaN,88,NaN,86,83,88,89,NaN,90,85,NaN,81,88,NaN,92,85,NaN,90,87,NaN,NaN,NaN,86,85,95,69,92,NaN,NaN,NaN,86,85,NaN,87,69,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,90,89,NaN,NaN
400736010,75,75,90,88,60,NaN,74,68,94,90,78,80,91,78,86,81,81,NaN,82,72,86,85,76,83,NaN,NaN,NaN,NaN,NaN,NaN,76,90,80,83,NaN,78,83,93,90,NaN,84,85,NaN,NaN,NaN,83,NaN,NaN,84,NaN,82,75,84,NaN,NaN,NaN,88,NaN,NaN,85,70,NaN,NaN,90,85,NaN,NaN,NaN,NaN,84,NaN,82,88,NaN,NaN
400736011,93,80,82,82,64,80,80,68,86,88,70,NaN,87,82,85,85,93,88,89,87,85,89,90,85,82,NaN,95,90,95,NaN,84,88,89,83,93,NaN,89,80,95,NaN,NaN,86,92,NaN,90,NaN,NaN,NaN,88,NaN,86,96,88,NaN,NaN,88,NaN,NaN,NaN,89,74,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,85,NaN,NaN
