id,3901001@人體解剖生理學@1@1,3901003@運動科學概論@1@1,3901005@專長術科（一）@1@1,3901101@運動心理學@1@1,3901105@體操@1@1,3901109@撞球@1@1,3901110@體育行政@1@1,3901888@學系服務學習@1@1,3902009@運動英語聽講@1@1,3902101@應用教練心理學@1@1,3902105@運動社會學@1@1,3903109@運動教練學@1@1,3903111@田徑@1@1,3903113@籃球@1@1,3904105@體育教材教法@1@1,3904108@運動裁判法@1@1,3904113@跆拳道@1@1,3904121@安全教育與急救@1@1,3901002@體育測驗與評量@2@1,3901004@運動休閒概論@2@1,3901006@專長術科（二）@2@1,3901102@運動教育學@2@1,3901103@體育學原理@2@1,3901888@學系服務學習@2@1,3902002@運動傷害與急救@2@1,3902106@運動管理學@2@1,3902113@瑜珈@2@1,3903101@體適能與運動處方@2@1,3903104@運動營養學@2@1,3903112@游泳@2@1,3903116@高爾夫@2@1,3903117@有氧舞蹈@2@1,3904116@排球@2@1,3902001@運動訓練法@1@1,3902003@專長術科（三）@1@1,3902010@運動專業實習（一）@1@1,3902103@運動生理學@1@1,3902112@國術@1@1,3903001@專長術科（五）@1@1,3903103@運動選材學@1@1,3903115@桌球@1@1,3903118@運動健康促進@1@1,3904008@運動資訊處理（二）@1@1,3904103@體育統計學@1@1,3904109@肌力訓練@1@1,3904110@足球@1@1,3902011@運動專業實習（二）@2@1,3902018@專長術科（四）-田徑@2@1,3902019@專長術科（四）-游泳@2@1,3902020@專長術科（四）-網球@2@1,3902021@專長術科（四）-羽球@2@1,3902022@專長術科（四）-高爾夫@2@1,3902023@專長術科（四）-跆拳道@2@1,3902024@專長術科（四）-射箭@2@1,3902025@專長術科（四）-定向越野@2@1,3902102@運動生物力學@2@1,3902104@應用運動生理學@2@1,3903007@運動資訊處理@2@1,3903019@專長術科（六）-羽球@2@1,3903102@運動技術分析@2@1,3903114@網球@2@1,3904117@羽球@2@1,3904123@運動健康心理學@2@1,3903008@專長術科（五）-田徑@1@1,3903009@專長術科（五）-游泳@1@1,3903010@專長術科（五）-網球@1@1,3903011@專長術科（五）-羽球@1@1,3903013@專長術科（五）-跆拳道@1@1,3903014@專長術科（五）-射箭@1@1,3903015@專長術科（五）-定向越野@1@1,3903024@專長術科（五）-綜合@1@1,3903105@運動行銷學@1@1,3903106@運動按摩學@1@1,3903119@運動專業實習（三）@1@1,3904012@專長術科（七）-羽球@1@1,3903005@體育英文@2@1,3903016@專長術科（六）-田徑@2@1,3903017@專長術科（六）-游泳@2@1,3903018@專長術科（六）-網球@2@1,3903021@專長術科（六）-跆拳道@2@1,3903022@專長術科（六）-射箭@2@1,3903023@專長術科（六）-定向越野@2@1,3903025@專長術科（六）-綜合@2@1,3903120@運動專業實習（四）@2@1,3904020@專長術科（八）-羽球@2@1,3904118@體育課程設計@2@1
403736003,85,96,88,69,NaN,NaN,NaN,70,83,NaN,NaN,88,NaN,85,NaN,89,NaN,NaN,77,94,88,NaN,88,NaN,90,NaN,95,88,88,88,NaN,90,NaN,82,87,84,NaN,NaN,NaN,77,95,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,93,-1,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,91,NaN,82,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1
403736005,77,89,80,75,NaN,86,NaN,70,60,NaN,NaN,85,NaN,NaN,NaN,90,NaN,81,80,86,87,NaN,82,NaN,91,NaN,93,NaN,80,92,89,NaN,NaN,70,78,90,83,86,NaN,78,NaN,NaN,80,NaN,NaN,NaN,87,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,-1,NaN,NaN,81,-1,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,80,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403736007,67,83,88,NaN,NaN,NaN,NaN,59,60,NaN,NaN,83,NaN,NaN,NaN,87,NaN,86,77,86,86,NaN,NaN,80,93,NaN,-1,NaN,-1,86,NaN,-1,85,66,85,84,84,85,NaN,80,70,NaN,80,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,86,-1,NaN,NaN,83,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,95,68,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
403736008,74,87,87,NaN,85,NaN,NaN,NaN,89,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,86,85,87,82,90,80,95,NaN,NaN,NaN,-1,-1,87,NaN,85,87,92,90,NaN,NaN,NaN,NaN,83,98,NaN,NaN,93,84,87,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,73,88,-1,-1,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,90,95,91,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403736009,75,86,87,NaN,NaN,NaN,96,70,81,88,NaN,85,NaN,NaN,NaN,88,NaN,89,82,91,88,NaN,NaN,NaN,91,71,95,NaN,-1,NaN,NaN,88,NaN,70,88,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,-1,NaN,NaN,-1,NaN,-1,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,94,86,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403736011,56,80,81,NaN,NaN,75,68,70,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,0,81,79,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403736012,72,71,88,74,84,NaN,NaN,NaN,60,NaN,NaN,85,92,88,NaN,89,NaN,NaN,74,86,89,NaN,85,80,82,80,96,95,88,-1,-1,NaN,NaN,68,89,86,72,89,NaN,82,NaN,NaN,NaN,NaN,NaN,86,91,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,-1,NaN,NaN,-1,97,-1,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,90,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403736013,84,93,85,NaN,85,NaN,94,70,80,NaN,NaN,86,NaN,90,NaN,NaN,NaN,87,86,90,85,89,88,NaN,96,86,-1,88,88,88,NaN,NaN,NaN,82,85,88,92,NaN,NaN,86,80,96,NaN,NaN,NaN,88,92,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,90,-1,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,82,94,90,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1
403736014,76,91,86,83,NaN,NaN,NaN,NaN,60,NaN,NaN,80,NaN,NaN,NaN,89,78,57,72,79,82,72,NaN,80,85,NaN,93,NaN,-1,NaN,86,65,NaN,67,82,89,73,77,NaN,78,62,NaN,NaN,79,NaN,83,76,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,86,-1,NaN,NaN,-1,-1,-1,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,92,75,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
403736015,81,89,87,NaN,NaN,NaN,95,70,83,NaN,88,82,NaN,90,NaN,88,96,NaN,72,80,85,NaN,NaN,NaN,89,NaN,93,NaN,85,83,-1,NaN,85,67,81,91,94,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,83,89,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,87,NaN,-1,NaN,NaN,86,95,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,85,95,88,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1
