id,3901001@人體解剖生理學@1@1,3901003@運動科學概論@1@1,3901009@專長術科（一）-田徑@1@1,3901010@專長術科（一）-游泳@1@1,3901011@專長術科（一）-網球@1@1,3901012@專長術科（一）-羽球@1@1,3901014@專長術科（一）-跆拳道@1@1,3901015@專長術科（一）-射箭@1@1,3901016@專長術科（一）-定向越野@1@1,3901025@專長術科（一）-綜合@1@1,3901101@運動心理學@1@1,3901109@撞球@1@1,3901888@學系服務學習@1@1,3902001@運動訓練法@1@1,3902105@運動社會學@1@1,3902112@國術@1@1,3903105@運動行銷學@1@1,3903109@運動教練學@1@1,3903111@田徑@1@1,3903113@籃球@1@1,3904103@體育統計學@1@1,3904108@運動裁判法@1@1,3901002@體育測驗與評量@2@1,3901004@運動休閒概論@2@1,3901017@專長術科（二）-田徑@2@1,3901018@專長術科（二）-游泳@2@1,3901019@專長術科（二）-網球@2@1,3901020@專長術科（二）-羽球@2@1,3901022@專長術科（二）-跆拳道@2@1,3901023@專長術科（二）-射箭@2@1,3901024@專長術科（二）-定向越野@2@1,3901026@專長術科（二）-綜合@2@1,3901102@運動教育學@2@1,3901103@體育學原理@2@1,3901888@學系服務學習@2@1,3902104@應用運動生理學@2@1,3902106@運動管理學@2@1,3903101@體適能與運動處方@2@1,3903104@運動營養學@2@1,3903112@游泳@2@1,3903114@網球@2@1,3903117@有氧舞蹈@2@1,3904117@羽球@2@1,3904118@體育課程設計@2@1
405736001,70,84,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,71,NaN,70,NaN,74,NaN,71,NaN,NaN,NaN,NaN,87,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
405736002,90,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
405736003,85,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,84,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
405736004,90,89,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
405736005,82,88,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,73,74,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
405736006,78,90,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,74,NaN,NaN,NaN,82,NaN,NaN,88,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
405736007,85,86,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,70,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405736008,70,79,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,80,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
405736010,82,92,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405736011,85,90,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,80,70,70,NaN,89,NaN,NaN,NaN,86,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
